"DINÁMICA","CARACTERIZ","MODALIDAD","DÍA_SEMAN","MES_DEL_HE","FRANJA_HORARIA","ZONA","ESTRATO_GRUPO"
"Hurto","HURTO DE BICICLETAS","ATRACO","miércoles","enero","Tarde","Distrito Agua Blanca","Bajo-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Mañana","Sur","Medio-alto"
"Hurto","HURTO A RESIDENCIA","VENTOSA","miércoles","enero","Madrugada","Distrito Agua Blanca","Bajo"
"Hurto","HURTO DE MOTOCICLETAS","HALADO","miércoles","enero","Mañana","Nor-Oriente","Medio-bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","jueves","enero","Mañana","Sur","Bajo-bajo"
"Hurto","HURTO A RESIDENCIA","FACTOR DE OPORTUNIDAD","miércoles","enero","Noche","Sur","Medio-alto"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","jueves","enero","Tarde","Sur","Medio-bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","jueves","enero","Tarde","Sur","Bajo-bajo"
"Hurto","HURTO  A ESTABLECIMIENTOS","VENTOSA","jueves","enero","Madrugada","Nor-Occidente","Medio"
"Hurto","HURTO DE AUTOPARTES","FACTOR DE OPORTUNIDAD","miércoles","enero","Mañana","Distrito Agua Blanca","Bajo-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Madrugada","Distrito Agua Blanca","Bajo-bajo"
"Hurto","HURTO DE MOTOCICLETAS","HALADO","miércoles","enero","Madrugada","Nor-Oriente","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Mañana","Nor-Occidente","Medio-bajo"
"Hurto","HURTO A CELULARES","FACTOR DE OPORTUNIDAD","miércoles","enero","Mañana","Nor-Oriente","Bajo"
"Hurto","HURTO A PERSONAS","FACTOR DE OPORTUNIDAD","miércoles","enero","Tarde","Sur","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Madrugada","Nor-Oriente","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Noche","Distrito Agua Blanca","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Noche","Nor-Oriente","Bajo"
"Hurto","HURTO  A ESTABLECIMIENTOS","VIOLACION DE CERRADURA","miércoles","enero","Madrugada","Nor-Occidente","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Tarde","Sur","Medio-bajo"
"Hurto","HURTO A PERSONAS","FACTOR DE OPORTUNIDAD","jueves","enero","Mañana","Nor-Oriente","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Madrugada","Distrito Agua Blanca","Bajo-bajo"
"Hurto","HURTO A PERSONAS","FACTOR DE OPORTUNIDAD","miércoles","enero","Mañana","Nor-Occidente","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Noche","Distrito Agua Blanca","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Noche","Nor-Occidente","Medio-bajo"
"Hurto","HURTO A PERSONAS","VIOLACION DE CERRADURA","jueves","enero","Mañana","Nor-Oriente","Bajo"
"Hurto","HURTO DE AUTOPARTES","FACTOR DE OPORTUNIDAD","miércoles","enero","Madrugada","Nor-Oriente","Medio-bajo"
"Hurto","HURTO A PERSONAS","FACTOR DE OPORTUNIDAD","miércoles","enero","Madrugada","Nor-Occidente","Medio-alto"
"Hurto","HURTO A CELULARES","RAPONAZO","miércoles","enero","Madrugada","Sur","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Noche","Sur","Medio-alto"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Noche","Distrito Agua Blanca","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Mañana","Sur","Medio-bajo"
"Hurto","HURTO A CELULARES","ATRACO","miércoles","enero","Mañana","Sur","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Mañana","Sur","Medio-alto"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Noche","Nor-Occidente","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Tarde","Sur","Medio-bajo"
"Hurto","HURTO A PERSONAS","COSQUILLEO","miércoles","enero","Tarde","Nor-Occidente","Medio-alto"
"Hurto","HURTO A PERSONAS","RAPONAZO","jueves","enero","Mañana","Nor-Occidente","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Mañana","Oriente","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Mañana","Nor-Occidente","Medio-bajo"
"Hurto","HURTO A CELULARES","FACTOR DE OPORTUNIDAD","miércoles","enero","Noche","Sur","Medio-alto"
"Hurto","HURTO A PERSONAS","COSQUILLEO","miércoles","enero","Mañana","Nor-Occidente","Medio-bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","jueves","enero","Tarde","Sur","Medio"
"Hurto","HURTO A RESIDENCIA","VENTOSA","jueves","enero","Noche","Nor-Occidente","Medio-alto"
